Key;Value;Missing
Mailbox management;Mailboxen verwalten;
Manage all your available mailboxes. You can edit ord delete existing ones and if you like create some new as well.;Sehe alle deine verfügbaren Mailboxen ein, verwalte sie, füge neue hinzu, ändere oder lösche sie.;
View all;Alle einsehen;
Create new;Neue anlegen;
Alias management;Aliase verwalten;
Manage all your available alias mailboxes. You can edit ord delete existing ones and if you like create some new as well.;Sehe alle deine verfügbaren Mailboxen aliase ein, verwalte sie, füge neue hinzu, ändere oder lösche sie.;
Domain managament;Domains verwalten;
Manage all your available domains. You can edit ord delete existing ones and if you like create some new as well.;Sehe alle deine verfügbaren Domains ein, verwalte sie, füge neue hinzu, ändere oder lösche sie.;
User managament;Benutzer verwalten;
This is the place where you can manage all users.;Sehe alle Benutzer ein, verwalte sie, füge neue hinzu, ändere oder lösche sie.;
Back;Zurück;
Create alias;Alias hinzufügen;
Source address;Quelladresse;
Target addresses;Zieladressen;
The provides source address has to be at least 5 characters long.;Die angegebene Quelladresse muss mindestens 5 Zeichen lang sein.;
Update user;Benutzer aktualisieren;
Name;Name;
The provides name has to be at least 2 characters long.;Der Name muss mindestens 2, aber nicht länger als 100 Zeichen sein;
E-Mail Address;Emailadresse;
The provided E-Mail address has to be a valid email address;Die angegebene Emailadresse muss eine valide Emailadresse sein.;
Password;Passwort;
The provides password has to be at least 5 characters long.;Das Passwort muss mindestens 5, aber nicht länger als 100 Zeichen sein;
User is a super admin and has almighty power;Benutzer ist super Administrator;
Restrict domain access;Domain Zugriff beschränken;
Index of all existing users;Übersicht aller verfügbaren Benutzer;
Edit;Bearbeiten;
Delete;Löschen;
Create user;Benutzer erstellen;
Well.. that's not how things work!;Ups.. so gehts nicht;
Please double check your provided information. It seems something isn't right;Bitte überprüfe deine Angaben noch einmal und versuche es erneut.;
Settings successfully saved;Einstellungen erfolgreich gespeichert;
The provided settings have ben successfully saved and will be applied after the next reload.;Die angegebenen Einstellungen wurden gespeichert und werden nach dem nächsten Neuladen angewendet.;
Activate quota service;Quota service aktivieren;
The quota service is designed to receive the individual mailbox quota without having the mailbox password.;Der Quota service ermöglicht es Ihnen die aktuell Postfachgröße der einzelnen Mailboxen einzusehen, ohne auf deren Konten zu zu greifen.;
The setup requires some minor linux know-how.;Hierzu wird allerdings eine gewisse Fachkenntnis im Umgang mit Linuxdistributionen benötigt.;
Follow the link if you need further assistant;Eine anleitung kann hier gefunden werden;
Activate quota;Quota aktivieren;
Socket;Socket;
Token;Token;
Complete installation;Installation abschließen;
Security options;Sicherheisteinstellungen;
Renew service token;Token neu generieren;
Renew SSL key pair;SSL keys neu generieren;
Password encryption algorithm;Passwort Verschlüsselungsalgorythmus;
Version;Version;
Current version;Aktuelle Version;
Software update;Software Update;
Save settings;Einstellungen speichern;
update;aktualisieren;
Mailbox size (MB);Postfachgröße in MB;
Mailbox is active and can be used;Mailbox ist aktiv und kann verwendet werden;
Update mailbox;Mailbox aktualisieren;
Index of all existing mailboxes;Übersicht aller verfügbaren Mailboxen;
You might want to create a mailbox first..;Es wurden noch keine Mailboxen angelegt;
E-mail address;Emailadresse;
Create mailbox;Mailbox erstellen;
Account name;Accountname;
Settings;Einstellungen;
Update;Aktualisieren;
Logout;Abmelden;
File permissions incorrect;Datei besitzt keine Schreibrechte;
File path;Dateipfad;
Please make sure that the following files can be written by your www-data user: <b>.env</b>, <b>config/postfixadm.php</b> and <b>installer.lock</b>;Bitte überprüfe Sie die Berechtigungen der <b>.env</b>, der <b>config/postfixadm.php</b> und der <b>installer.lock</b> Datei im root Verzeichnis der postfixADM-Installation.;
Please make sure that the following files can be written by your www-data user: <b>installer.lock</b>;Bitte überprüfe Sie die Berechtigungen der  <b>installer.lock</b> Datei im root Verzeichnis der postfixADM-Installation.;
OpenSSL error;OpenSSL Fehler;
